Zen2 measurement skipped.
   |-- Port01 FP (2 read op) --|--LATENCY--IIDOMAIN--FFDOMAIN--IFDOMAIN--FIDOMAIN-----GPR-------PORT0----PORT1-----PORT01----PORT03-----PORT2----PORT12----PORT23--PORT0123----PORT45------LDs-
  1|VMULPD x<-x1 x1            |   300144,   700077,   500166,   704406,   700114,  1006400,  1200058,  1200280,  1600065,  1306026,  1006363,  1275094,   806045,  1255891,   800162,   846116,
  2|VMULPD y<-y1 y1            |   300144,   700077,   500129,   700077,   700114,  1000184,  1200095,  1200280,  1604838,  1306026,  1006326,  1275057,   800125,  1252006,   800125,   819513,
  3|VMULPS x<-x1 x1            |   300107,   700077,   500055,   704221,   700114,  1005993,  1200095,  1200280,  1604579,  1306026,  1000184,  1275094,   805934,  1253856,   800162,   800384,
  4|VMULPS y<-y1 y1            |   300181,   700077,   504754,   700114,   704517,  1006548,  1200095,  1200280,  1600065,  1305989,  1000147,  1275094,   800125,  1200132,   800125,   837717,
  5|VMULSD x<-x1 x1            |   300107,   704813,   500055,   700077,   704332,  1000147,  1200132,  1200243,  1600139,  1305989,  1000184,  1281939,   800125,  1255817,   800125,   800347,
  6|VMULSS x<-x1 x1            |   300070,   700077,   500092,   700040,   700114,  1000110,  1204646,  1200243,  1610314,  1306026,  1000184,  1275131,   800162,  1248306,   800162,   808080,
  7|VRCPPS x<-x                |   300144,   700077,   500092,   700077,   700077,  1000221,  1200132,  1200243,  1604616,  1305989,  1000221,  1275094,   800162,  1271172,   800236,   800199,
  8|VRCPPS y<-y                |   300144,   700077,   500055,   704369,   700114,  1000147,  1200095,  1200280,  1604616,  1310577,  1000147,  1275131,   800125,  1200206,   800199,   800162,
  9|VRCPSS x<-x1 x1            |   300107,   700077,   500092,   700114,   700077,  1007177,  1200095,  1200243,  1600102,  1306026,  1000110,  1275094,   800125,  1264549,   800236,   843082,
 10|VRSQRTPS x<-x              |   300070,   700077,   500055,   700114,   700077,  1000147,  1200095,  1200280,  1600139,  1306026,  1000110,  1275168,   800125,  1265696,   800125,   830280,
 11|VRSQRTPS y<-y              |   300144,   700077,   500055,   700114,   700077,  1000110,  1200132,  1200280,  1600139,  1305989,  1000110,  1275094,   800162,  1265659,   800125,   820512,
 12|VRSQRTSS x<-x1 x1          |   300107,   700114,   500055,   700114,   700077,  1000147,  1200095,  1200280,  1600065,  1310614,  1000221,  1275094,   800125,  1200169,   800162,   833240,
   |---- Port01 (3 read op) ---|--LATENCY--IIDOMAIN--FFDOMAIN--IFDOMAIN--FIDOMAIN-----GPR-------PORT0----PORT1-----PORT01----PORT03-----PORT2----PORT12----PORT23--PORT0123----PORT45------LDs-
 14|VPBLENDVB x1<-x1 x1 x1     |   100159,   300070,   500092,   500092,   500092,  1000110,  1200095,  1200243,  1600028,  1306026,  1000147,  1255262,   800125,  1200132,  1576792,   818625,
 15|VPBLENDVB y1<-y1 y1 y1     |   100196,   300107,   500055,   500092,   500092,  1000184,  1200095,  1204868,  1600102,  1305989,  1000147,  1255225,   800125,  1200169,  1581824,   800125,
 16|VBLENDVPD x1<-x1 x1 x1     |   100159,   500055,   300033,   500092,   500055,  1000110,  1200132,  1200243,  1604394,  1305989,  1005993,  1255151,   800162,  1200169,  1576755,   809227,
 17|VBLENDVPD y1<-y1 y1 y1     |   100159,   500092,   300070,   500055,   500055,  1000147,  1200095,  1200243,  1605948,  1305989,  1000184,  1255151,   800162,  1200169,  1576829,   831686,
 18|VBLENDVPS x1<-x1 x1 x1     |   100159,   500055,   300144,   500092,   500055,  1000147,  1200132,  1200280,  1600139,  1306026,  1000147,  1255151,   800162,  1200206,  1576792,   800347,
 19|VBLENDVPS y1<-y1 y1 y1     |   100159,   500092,   300144,   500055,   500129,  1000110,  1200132,  1200280,  1604727,  1305989,  1000110,  1255151,   800125,  1200169,  1576792,   800162,
 20|VPBLENDVB x1<-x1 x2 x3     |   100159,   300144,   500055,   500092,   504088,  1000147,  1200095,  1200317,  1600102,  1416323,  1006400,  1323009,   800199,  1252339,  1564064,   800236,
 21|VPBLENDVB y1<-x1 y2 y3     |   100196,   300107,   500092,   500129,   500055,  1006363,  1200132,  1200243,  1600102,  1416360,  1000147,  1323046,   800125,  1260479,  1564064,   800421,
 22|VBLENDVPD x1<-x1 x2 x3     |   100196,   500055,   300107,   500092,   500092,  1000184,  1200132,  1205645,  1605911,  1416397,  1000184,  1323046,   800162,  1230213,  1564064,   800125,
 23|VBLENDVPD y1<-x1 y2 y3     |   100196,   500055,   300107,   500055,   500055,  1007732,  1200132,  1200280,  1600065,  1411846,  1000147,  1323009,   800162,  1220186,  1568689,   800273,
 24|VBLENDVPS x1<-x1 x2 x3     |   100196,   500092,   300144,   500092,   500092,  1000110,  1200169,  1200317,  1600102,  1416360,  1006585,  1323046,   800162,  1238501,  1563953,   800347,
 25|VBLENDVPS y1<-x1 y2 y3     |   100159,   500092,   300144,   500055,   500055,  1000110,  1200132,  1200243,  1609759,  1416360,  1000221,  1323083,   800162,  1200206,  1563953,   800199,
 26|VFMADDSUB132PD x1<-x1 x1 x1|   400044,   800051,   600103,   800088,   800125,  1000110,  1200132,  1204350,  1604727,  1348021,  1000184,  1300143,   850149,  1290412,  1151070,   817663,
 27|VFMADDSUB132PD y1<-y1 y1 y1|   400118,   800125,   600103,   800125,   800125,  1007547,  1200095,  1200243,  1600139,  1343618,  1011913,  1280126,   850149,  1287711,   800162,   800236,
 28|VFMADDSUB132PS x1<-x1 x1 x1|   400118,   800125,   600103,   800088,   800051,  1000184,  1200132,  1200243,  1600065,  1343692,  1000110,  1289598,   800125,  1287711,   800125,   830613,
 29|VFMADDSUB132PS y1<-y1 y1 y1|   400081,   800125,   604469,   800088,   800088,  1000221,  1204720,  1200243,  1600139,  1343618,  1000110,  1290116,   850112,  1200132,   800125,   822066,
 30|VFMADD132SD x1<-x1 x1 x1   |   400044,   800051,   600103,   800051,   800051,  1000147,  1200095,  1200243,  1604727,  1347910,  1006659,  1290116,   850186,  1290338,  1150034,   850149,
 31|VFMADD132SS x1<-x1 x1 x1   |   400044,   800088,   600066,   800051,   800088,  1000110,  1200095,  1200243,  1600065,  1343618,  1000110,  1290116,   850186,  1293890,   800162,   800717,
 32|VFMADDSUB213PD x1<-x1 x1 x1|   400118,   800088,   605024,   800088,   800051,  1000110,  1200095,  1200243,  1600102,  1343618,  1000110,  1286564,   800199,  1287674,   806563,   811003,
 33|VFMADDSUB213PD y1<-y1 y1 y1|   400044,   800051,   600103,   800051,   804417,  1000221,  1200095,  1200243,  1600139,  1343655,  1000221,  1280200,   850112,  1228104,   800162,   801161,
 34|VFMADDSUB213PS x1<-x1 x1 x1|   400081,   800088,   600103,   800051,   800125,  1000147,  1200169,  1200243,  1600102,  1343618,  1000110,  1300106,   850149,  1290412,  1150071,   800162,
 35|VFMADDSUB213PS y1<-y1 y1 y1|   400044,   804417,   600066,   800051,   800051,  1000110,  1200095,  1200243,  1604653,  1343655,  1000110,  1280126,   850112,  1293705,   800162,   823028,
 36|VFMADD213SD x1<-x1 x1 x1   |   400118,   804195,   600103,   800125,   800051,  1000184,  1200095,  1200280,  1600065,  1343655,  1006252,  1292965,   800125,  1287674,   800125,   814888,
 37|VFMADD213SS x1<-x1 x1 x1   |   400081,   800051,   600103,   800088,   800051,  1000110,  1200132,  1200317,  1600102,  1343618,  1000110,  1290079,   850149,  1200132,   800162,   800162,
 38|VFMADDSUB231PD x1<-x1 x1 x1|   400044,   800051,   600103,   800051,   800088,  1000110,  1200095,  1200243,  1600102,  1343618,  1005956,  1300143,   850186,  1293298,  1150108,   819328,
 39|VFMADDSUB231PD y1<-y1 y1 y1|   400155,   800162,   604654,   800088,   800088,  1000110,  1200095,  1200317,  1604801,  1348021,  1000110,  1295296,   850112,  1293298,   800162,   811151,
 40|VFMADDSUB231PS x1<-x1 x1 x1|   400044,   800088,   600103,   800088,   800051,  1006326,  1200095,  1200280,  1604690,  1343692,  1000184,  1295740,   800125,  1287674,   800162,   802641,
 41|VFMADDSUB231PS y1<-y1 y1 y1|   400081,   800088,   600103,   800051,   800088,  1000147,  1200132,  1200243,  1604690,  1349279,  1000221,  1300143,   855366,  1260812,   800125,   840677,
 42|VFMADD231SD x1<-x1 x1 x1   |   400118,   800125,   600066,   800088,   800051,  1000221,  1200095,  1200280,  1604949,  1343655,  1006770,  1305508,   850149,  1284418,  1150108,   823176,
 43|VFMADD231SS x1<-x1 x1 x1   |   400081,   800051,   600066,   800051,   800088,  1000147,  1200095,  1200280,  1600176,  1343655,  1000110,  1300143,   850149,  1304361,   819106,   814888,
 44|VFMADDSUB132PD x1<-x1 x2 x3|   400044,   800125,   600066,   800051,   808413,  1102452,  1378694,  1373477,  1604727,  1400302,  1106374,  1394826,  1066784,  1276204,  1443444,  1066821,
 45|VFMADDSUB132PD y1<-y1 y2 y3|   400044,   800125,   605283,   800088,   800088,  1102526,  1378620,  1375882,  1600139,  1410440,  1102489,  1392273,  1100084,  1221592,  1443148,  1066821,
 46|VFMADDSUB132PS x1<-x1 x2 x3|   400118,   800125,   604358,   800051,   800051,  1102452,  1378583,  1369074,  1600102,  1400228,  1102489,  1390127,  1100084,  1254374,  1421688,  1066784,
 47|VFMADD132SD x1<-x1 x2 x3   |   400081,   800051,   600103,   800088,   800125,  1102489,  1383208,  1375919,  1605726,  1400265,  1102526,  1390090,  1066821,  1276167,  1442889,  1066821,
 48|VFMADD132SS x1<-x1 x2 x3   |   400044,   804232,   600066,   800088,   800088,  1102526,  1378620,  1372256,  1600102,  1400228,  1102526,  1402781,  1100195,  1258851,  1438597,  1066784,
 49|VFMADDSUB132PS y1<-y1 y2 y3|   400118,   800051,   600066,   800051,   800088,  1102526,  1378620,  1375882,  1604468,  1400302,  1102489,  1376696,  1109741,  1281532,  1442889,  1066821,
 50|VFMADDSUB213PD x1<-x1 x2 x3|   400044,   800125,   600103,   804195,   800088,  1102489,  1378546,  1375882,  1600065,  1400191,  1102563,  1390090,  1100158,  1252931,  1096310,  1066821,
 51|VFMADDSUB213PD y1<-y1 y2 y3|   400118,   800051,   600103,   800125,   800088,  1102563,  1383541,  1375882,  1600102,  1400191,  1102526,  1402707,  1100121,  1287415,  1096236,  1072519,
 52|VFMADDSUB213PS x1<-x1 x2 x3|   400044,   800088,   600066,   800088,   800088,  1102526,  1377658,  1375882,  1600139,  1400228,  1102526,  1390053,  1066784,  1279904,  1096273,  1066784,
 53|VFMADDSUB213PS y1<-y1 y2 y3|   400044,   800051,   600103,   800162,   800051,  1102452,  1378583,  1375993,  1600065,  1400265,  1102563,  1402818,  1100084,  1233543,  1096273,  1073111,
 54|VFMADD213SD x1<-x1 x2 x3   |   400044,   800088,   600066,   800125,   800088,  1102452,  1375956,  1364153,  1600065,  1400191,  1102526,  1390127,  1100084,  1253967,  1105042,  1066858,
 55|VFMADD213SS x1<-x1 x2 x3   |   400081,   800125,   600103,   800051,   800051,  1102415,  1378657,  1375919,  1600139,  1400265,  1102489,  1402744,  1105486,  1276204,  1100750,  1072371,
 56|VFMADDSUB231PD x1<-x1 x2 x3|   400081,   800088,   600066,   800088,   800125,  1102489,  1378620,  1375919,  1605726,  1400302,  1102452,  1383541,  1066784,  1281569,  1571057,  1066821,
 57|VFMADDSUB231PD y1<-y1 y2 y3|   400081,   800051,   600066,   800051,   800088,  1102563,  1378620,  1375919,  1600102,  1400265,  1102489,  1400043,  1100195,  1221555,  1571353,  1066821,
 58|VFMADDSUB231PS x1<-x1 x2 x3|   400118,   800125,   600103,   800088,   800051,  1102526,  1378546,  1372478,  1600065,  1400191,  1102526,  1390090,  1100195,  1252339,  1565359,  1072704,
 59|VFMADDSUB231PS y1<-y1 y2 y3|   400081,   800088,   600066,   800051,   800051,  1102452,  1378620,  1375956,  1600102,  1400265,  1102452,  1383615,  1100084,  1279867,  1566469,  1066821,
 60|VFMADD231SD x1<-x1 x1 x1   |   400118,   800088,   604173,   800051,   800051,  1102452,  1382764,  1375031,  1600139,  1400117,  1107595,  1394308,  1066821,  1283160,  1566506,  1066784,
 61|VFMADD231SS x1<-x1 x1 x1   |   400081,   800125,   600103,   800051,   800051,  1102489,  1382727,  1373662,  1600176,  1400228,  1106818,  1383652,  1100158,  1221555,  1566432,  1066858,
   |-------- Port23 FP --------|--LATENCY--IIDOMAIN--FFDOMAIN--IFDOMAIN--FIDOMAIN-----GPR-------PORT0----PORT1-----PORT01----PORT03-----PORT2----PORT12----PORT23--PORT0123----PORT45------LDs-
 63|VADDPD x<-x1 x1            |   300144,   700114,   500129,   700114,   700040,  1000110,   840159,   800273,   800199,  1306026,  1561252,  1279793,  1600139,  1264586,   800162,   800162,
 64|VADDPD y<-y1 y1            |   300144,   700077,   500129,   700114,   704776,  1000110,   804898,   800310,   800125,  1305989,  1554777,  1275168,  1604875,  1250304,   800162,   805897,
 65|VADDPS x<-x1 x1            |   300144,   700077,   500092,   709068,   700077,  1006252,   800125,   809560,   800199,  1305989,  1554333,  1275168,  1600139,  1250230,   805971,   849594,
 66|VADDPS y<-y1 y1            |   300144,   700114,   500092,   704924,   700077,  1000147,   800088,   800310,   800162,  1305989,  1554407,  1275168,  1605319,  1200206,   826469,   842046,
 67|VADDSD x<-x1 x1            |   300107,   700077,   500055,   700077,   700114,  1000184,   800125,   800347,   800199,  1305989,  1554444,  1275131,  1600065,  1264623,   800199,   800310,
 68|VADDSS x<-x1 x1            |   300107,   700114,   500092,   700114,   700077,  1000147,   800125,   800310,   800162,  1305989,  1554444,  1275131,  1600139,  1250193,   800125,   804454,
 69|VSUBPD x<-x1 x1            |   300144,   704184,   500055,   700077,   700114,  1006215,   800125,   805601,   800125,  1305989,  1554296,  1275131,  1600102,  1265585,   805231,   826247,
 70|VSUBPD y<-y1 y1            |   300107,   700077,   500055,   700151,   700077,  1000221,   800162,   800310,   800125,  1306026,  1554481,  1284307,  1600065,  1200169,   800162,   813149,
 71|VSUBPS x<-x1 x1            |   300107,   700114,   500092,   700151,   700077,  1000147,   800125,   800310,   800162,  1305989,  1554592,  1275131,  1604727,  1264549,   800162,   800347,
 72|VSUBPS y<-y1 y1            |   300033,   700114,   500055,   700077,   700077,  1000184,   800125,   800236,   800162,  1305989,  1554555,  1275094,  1605763,  1250193,   800125,   801753,
 73|VSUBSD x<-x1 x1            |   300033,   700077,   500055,   700114,   700114,  1000184,   800199,   800310,   800162,  1306026,  1554592,  1275131,  1600102,  1250156,   800162,   801050,
 74|VSUBSS x<-x1 x1            |   300107,   700114,   500055,   700077,   700077,  1000147,   800125,   800384,   800162,  1305989,  1554296,  1275131,  1600028,  1200169,   800162,   800199,
 75|VADDSUBPD x<-x1 x1         |   300070,   700151,   500055,   704332,   700114,  1000147,   800125,   800310,   800125,  1305989,  1554814,  1275131,  1600139,  1264586,   800162,   800199,
 76|VADDSUBPD y<-y1 y1         |   300144,   700077,   500092,   700114,   700077,  1000221,   800162,   800273,   800199,  1306026,  1554481,  1275094,  1600102,  1265622,   800162,   800236,
 77|VADDSUBPS x<-x1 x1         |   300070,   700114,   500055,   700077,   700077,  1000184,   840159,   800310,   800162,  1306026,  1554444,  1275205,  1610832,  1265622,   800162,   800199,
