===================================
Zen4
Procmask:0x0000000000000008
    |-- Imm8 --                          |--LATENCY-|THROUGHPUT|--PORT01--|--PORT23--|--PORT12--|--PORT123-|--PORT0123|--PORT45--|-TERRNLOG-|--LDs-----|--PORT1---|
   0|VEXTRACTI128 x<-y 0                 |    100170|    200160|    800145|    800190|    982035|   1100160|   1200195|    800145|    812835|    870840|   1210410|
   1|VEXTRACTF128 x<-y 0                 |    100170|    200205|    800235|    800280|    984015|   1100070|   1200105|    800235|    800190|    866790|   1209960|
   2|VEXTRACTI128 x<-y 1                 |    300060|    400185|   1250145|   1260360|   1600065|   1580310|   1255680|    800235|    884880|    874575|   1176120|
   3|VEXTRACTF128 x<-y 1                 |    300060|    400095|   1250100|   1258065|   1600110|   1580400|   1227420|    800100|    800145|    870435|   1186650|
   4|VEXTRACTI32X4 x<-y 0                |    100125|    200160|    800145|    800190|    982035|   1100115|   1200150|    800235|    868140|    866880|   1209960|
   5|VEXTRACTF32X4 x<-y 0                |    100125|    200160|    800235|    800145|    982080|   1094850|   1200150|    800100|    814095|    833490|   1210455|
   6|VEXTRACTI32X4 x<-y 1                |    300060|    400140|   1271520|   1276830|   1600065|   1581210|   1200105|    800190|    800235|    833445|   1180440|
   7|VEXTRACTF32X4 x<-y 1                |    300105|    400050|   1271610|   1276785|   1600200|   1581165|   1200150|    800190|    800190|    866835|   1176165|
   8|VEXTRACTI32X4 x<-z 0                |    100170|    439875|   1208115|   1206045|   1560150|   1418445|   1600110|    800235|   1200150|    833535|   1616130|
   9|VEXTRACTF32X4 x<-z 0                |    100170|    439875|   1208295|   1220085|   1540125|   1418445|   1600155|    800145|   1200060|    833490|   1616580|
  10|VEXTRACTI32X4 x<-z 1                |    400095|    800145|   1600110|   1600155|   2400795|   1909935|   1600335|   1737990|   1742985|   1600065|   1600110|
  11|VEXTRACTF32X4 x<-z 1                |    400050|    800100|   1600110|   1600155|   2400120|   1918935|   1600290|   1745505|   1732860|   1600110|   1600200|
  12|VEXTRACTI32X8 y<-z 0                |    100170|    439875|   1208070|   1205685|   1540125|   1418445|   1600110|    800145|   1200105|    833535|   1611000|
  13|VEXTRACTF32X8 y<-z 0                |    100125|    439875|   1217880|   1200105|   1560150|   1419300|   1600110|    800190|   1200330|    874215|   1614735|
  14|VEXTRACTI32X8 y<-z 1                |    400095|    800145|   1600155|   1600155|   2400075|   1909935|   1600650|   1745550|   1742985|   1600155|   1600200|
  15|VEXTRACTF32X8 y<-z 1                |    400050|    800100|   1600110|   1600110|   2400030|   1915830|   1601775|   1745550|   1742985|   1600110|   1600200|
  16|VINSERTI128 y<-y x 0                |    100125|    400095|   1266795|   1258515|   1600155|   1564605|   1200195|    800190|    800235|    866790|   1118925|
  17|VINSERTF128 y<-y x 0                |    100170|    400050|   1266795|   1258515|   1600155|   1589850|   1200105|    800190|    800100|    866790|   1119150|
  18|VINSERTI128 y<-y x 1                |    100170|    400140|   1255635|   1233495|   1600110|   1564560|   1200150|    800145|    800100|    866835|   1118430|
  19|VINSERTF128 y<-y x 1                |    100215|    400095|   1255635|   1233540|   1600110|   1564560|   1200150|    800190|    800235|    866835|   1119150|
  20|VINSERTI32X4 y<-y x 0               |    100170|    400095|   1250100|   1258515|   1600155|   1558575|   1220220|    800145|    800100|    833445|   1132920|
  21|VINSERTF32X4 y<-y x 0               |    100125|    400140|   1255680|   1233450|   1600110|   1576395|   1222425|    800145|    800100|    833535|   1132965|
  22|VINSERTI32X4 y<-y x 1               |    100170|    400140|   1250100|   1233450|   1600110|   1589850|   1200195|    800235|    800235|    833490|   1119150|
  23|VINSERTF32X4 y<-y x 1               |    100215|    400185|   1250100|   1233540|   1600110|   1576395|   1222425|    800235|    800145|    868095|   1118970|
  24|VINSERTI32X4 z<-z x 0               |    100170|    800100|   1600155|   1600155|   2404080|   1885950|   1600200|   1737945|   1740105|   1600065|   1600155|
  25|VINSERTF32X4 z<-z x 0               |    105255|    800100|   1600110|   1600155|   2400075|   1866870|   1600335|   1623825|   1740060|   1600065|   1600155|
  26|VINSERTI32X4 z<-z x 1               |    105255|    800100|   1600200|   1623060|   2400075|   1866870|   1600200|   1743795|   1730880|   1600110|   1600155|
  27|VINSERTF32X4 z<-z x 1               |    105345|    800100|   1600110|   1663875|   2400030|   1885995|   1600470|   1626120|   1616670|   1600155|   1600110|
  28|VINSERTI32X8 z<-z x 0               |    100170|    800055|   1600155|   1600110|   2400120|   1900125|   1600155|   1740105|   1800135|   1600110|   1600110|
  29|VINSERTF32X8 z<-z x 0               |    105255|    800100|   1600200|   1600110|   2400030|   2117745|   1600155|   1692585|   1752165|   1600065|   1600155|
  30|VINSERTI32X8 z<-z x 1               |    105255|    800055|   1600155|   1600155|   2400030|   1887030|   1600155|   1740060|   1740105|   1600110|   1600155|
  31|VINSERTF32X8 z<-z x 1               |    105300|    800100|   1600200|   1600155|   2400030|   1885860|   1600110|   1734705|   1740015|   1600110|   1600155|
  32|VPERM2I128 y<-y y 01h               |    300060|    400050|   1250145|   1276830|   1600155|   1583190|   1250100|    800190|    800235|    871020|   1176300|
  33|VPERM2F128 y<-y y 01h               |    300060|    400095|   1271565|   1276785|   1600155|   1580355|   1250190|    800100|    800190|    866790|   1176255|
  34|VPERM2I128 y<-y y 02h               |    300060|    400140|   1262655|   1276830|   1600065|   1580355|   1226700|    800190|    800235|    872640|   1184805|
  35|VPERM2F128 y<-y y 02h               |    300105|    400095|   1250145|   1276785|   1667295|   1583190|   1255725|    800145|    800145|    866790|   1176255|
  36|VPERM2I128 y<-y y 10h               |    100215|    320220|    800190|   1110105|   1333485|   1489095|   1214595|    800145|    867195|    866790|   1450215|
  37|VPERM2F128 y<-y y 10h               |    100170|    340110|    800145|   1129680|   1333485|   1603395|   1200105|    800145|    867195|    866880|   1450305|
  38|VPERM2I128 y<-y y 30h               |    100125|    320085|    800190|   1132065|   1333440|   1489050|   1214640|    800190|    867510|    866835|   1450305|
  39|VPERM2F128 y<-y y 30h               |    100125|    320175|    800145|   1129680|   1333440|   1656180|   1200105|    800145|    867285|    872775|   1457190|
  40|VPERM2I128 y<-y y 32h               |    100170|    340110|    800145|   1129725|   1333395|   1489050|   1214640|    800190|    867195|    866835|   1452330|
  41|VPERM2F128 y<-y y 32h               |    100170|    320130|    800190|   1110240|   1333485|   1489095|   1200105|    800145|    867555|    872775|   1457055|
  42|VPERM2I128 y<-y y 80h               |    300060|    400095|   1250100|   1276830|   1600155|   1580445|   1255725|    800145|    800145|    870840|   1176255|
  43|VPERM2F128 y<-y y 80h               |    300060|    400095|   1250145|   1276830|   1600065|   1583190|   1200330|    800190|    800100|    866835|   1176300|
  44|VPERM2I128 y<-y y 81h               |    300105|    400050|   1271610|   1276785|   1600065|   1580400|   1255770|    800100|    800190|    866835|   1176165|
  45|VPERM2F128 y<-y y 81h               |    300105|    400095|   1250145|   1276875|   1600110|   1583190|   1200330|    800190|    800235|    873270|   1176165|
  46|VPERM2I128 y<-y y 88h               |    300060|    400095|   1250100|   1266750|   1600110|   1580400|   1255725|    800190|    800235|    872640|   1176210|
  47|VPERM2F128 y<-y y 88h               |    300060|    400140|   1250100|   1276830|   1600110|   1580400|   1255680|    800145|    800100|    866835|   1176165|
  48|VPERM2I128 y<-y y 18h               |    300060|    400185|   1250145|   1276830|   1600110|   1580400|   1234800|    800190|    800235|    866835|   1176210|
  49|VPERM2F128 y<-y y 18h               |    300060|    400140|   1250100|   1276830|   1600155|   1583235|   1250145|    800235|    800190|    874575|   1176210|
  50|VPERM2I128 y<-y y 19h               |    300060|    400185|   1250145|   1281015|   1600065|   1580400|   1255725|    800100|    800145|    866835|   1176480|
  51|VPERM2F128 y<-y y 19h               |    300060|    400185|   1250190|   1266840|   1600110|   1580355|   1250145|    800190|    800100|    866835|   1176390|
  52|VPERM2I128 y<-y y 89h               |    300105|    400050|   1250145|   1276830|   1600110|   1583235|   1255770|    800235|    800190|    866790|   1176255|
  53|VPERM2F128 y<-y y 89h               |    300150|    400095|   1250100|   1276785|   1600065|   1580400|   1250145|    800100|    800145|    866790|   1176120|
  54|VPERM2I128 y<-y y 99h               |    300105|    400095|   1271565|   1276830|   1600155|   1580355|   1255680|    800145|    800100|    869265|   1176210|
  55|VPERM2F128 y<-y y 99h               |    300105|    400140|   1250100|   1256760|   1600110|   1580355|   1255725|    800145|    800145|    866790|   1176165|
  56|VSHUFI32X4 y<-y y 01h               |    300060|    400140|   1271565|   1276830|   1600065|   1581165|   1200150|    800145|    800100|    833490|   1176255|
  57|VSHUFF32X4 y<-y y 01h               |    300105|    400095|   1271565|   1276830|   1600065|   1581165|   1200195|    800145|    800145|    833535|   1176210|
  58|VSHUFI32X4 y<-y y 02h               |    100170|    320175|    800190|   1110150|   1333530|   1666800|   1200195|    800100|    867240|    833535|   1457730|
  59|VSHUFF32X4 y<-y y 02h               |    100170|    340155|    800145|   1110195|   1350180|   1400130|   1222875|    800145|    867195|    833445|   1458360|
  60|VSHUFI64X2 y<-y y 01h               |    300060|    400095|   1271520|   1276785|   1600065|   1582785|   1200195|    800190|    800235|    870120|   1176300|
  61|VSHUFF64X2 y<-y y 01h               |    300060|    400140|   1271520|   1276830|   1600110|   1583235|   1200150|    800145|    800190|    833445|   1176165|
  62|VSHUFI64X2 y<-y y 02h               |    100170|    340155|    800145|   1110105|   1333440|   1400175|   1222920|    800145|    867330|    833445|   1450260|
  63|VSHUFF64X2 y<-y y 02h               |    100170|    320130|    800235|   1129770|   1333440|   1489050|   1222875|    800190|    867600|    833535|   1457235|
  64|VSHUFI32X4 z<-z z 01h               |    400140|    800100|   1600110|   1600200|   2400120|   1915875|   1600605|   1736460|   1742940|   1600065|   1600155|
  65|VSHUFF32X4 z<-z z 01h               |    400140|    800100|   1600155|   1600110|   2400075|   1926720|   1600335|   1745550|   1719990|   1600065|   1600245|
  66|VSHUFI32X4 z<-z z e4h               |    400050|    800100|   1600200|   1600110|   2400075|   1915830|   1600290|   1780515|   1742895|   1600110|   1600155|
